# C/T	URI	Lens	Limit	response_times_getLinksetsForLens	response_times_insert	response_times_pharmacology	response_times_drop	triple_count_pharmacology
C	http://ops.rsc.org/OPS997323	http://www.openphacts.org/lenses/chemistryTautomer	10	0.291	3.003	40.052	10.789	63
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL98062	http://www.openphacts.org/lenses/default	10	0.017	2.699	0.572	0.061	48
T	http://www4.wiwiss.fu-berlin.de/drugbank/resource/targets/4785	http://www.openphacts.org/lenses/chemistryTautomer	50	0.020	300.442	0.558	0.048	0
C	http://ops.rsc.org/OPS985511	http://www.openphacts.org/lenses/chemistryTautomer	10	0.020	2.962	2.031	0.056	32
C	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01689	http://www.openphacts.org/lenses/default	50	0.020	3.907	1.653	0.051	37
C	http://www.conceptwiki.org/concept/fafba41d-d479-459c-a033-8b4d6d47f8d7	http://www.openphacts.org/lenses/chemistryParentChildTautomer	50	0.022	3.020	1.034	0.053	48
T	http://www.conceptwiki.org/concept/fabd45ad-6370-4553-bf0a-32ddf753ebca	http://www.openphacts.org/lenses/chemistryParentChildTautomer	50	0.017	0.913	0.513	0.049	0
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL99475	http://www.openphacts.org/lenses/chemistryChildParent	50	0.021	2.787	0.654	0.053	27
C	http://www.conceptwiki.org/concept/fbca8945-1402-4d6a-9c73-1e1eab56a69b	http://www.openphacts.org/lenses/chemistryChildParent	50	0.020	2.794	1.086	0.061	232
C	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB02456	http://www.openphacts.org/lenses/default	25	0.023	2.793	0.567	0.048	0
T	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL2745	http://www.openphacts.org/lenses/chemistryStrict	25	0.021	3.802	44.926	0.047	490
T	http://www4.wiwiss.fu-berlin.de/drugbank/resource/targets/5430	http://www.openphacts.org/lenses/chemistryAll	25	0.023	3.555	0.654	0.048	0
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_2565	http://www.openphacts.org/lenses/chemistryParentChild	25	0.020	5.099	48.517	0.091	639
T	http://www4.wiwiss.fu-berlin.de/drugbank/resource/targets/3601	http://www.openphacts.org/lenses/chemistryChildParent	25	0.018	2.179	0.523	0.048	0
C	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB02433	http://www.openphacts.org/lenses/all	10	0.021	3.451	0.576	0.050	0
C	http://ops.rsc.org/OPS986730	http://www.openphacts.org/lenses/chemistryParentChild	25	0.019	5.089	1.304	0.094	59
C	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01219	http://www.openphacts.org/lenses/all	25	0.021	38.041	7.009	0.052	483
C	http://www.conceptwiki.org/concept/fa511279-d5e2-4382-82a5-30e319f8b0e7	http://www.openphacts.org/lenses/all	10	0.017	6.427	1.108	0.049	124
T	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL3741	http://www.openphacts.org/lenses/chemistryChildParentTautomer	25	0.019	300.522	0.518	0.051	0
C	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01425	http://www.openphacts.org/lenses/default	50	0.020	6.392	0.785	0.050	344
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_4703	http://www.openphacts.org/lenses/chemistryParentChildTautomer	50	0.019	300.468	0.479	0.051	0
C	http://www.conceptwiki.org/concept/fea52375-3e0d-484e-9780-bf3ec1852b0b	http://www.openphacts.org/lenses/all	50	0.021	3.551	0.717	0.047	46
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_4684	http://www.openphacts.org/lenses/chemistryAll	10	0.020	5.652	56.683	0.049	113
C	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01502	http://www.openphacts.org/lenses/chemistryChildParentTautomer	25	0.020	3.528	0.476	0.049	0
C	http://www.conceptwiki.org/concept/fac8e3e4-9931-4a20-a490-3b45f58042bc	http://www.openphacts.org/lenses/chemistryParentChild	10	0.018	2.617	0.962	0.051	59
C	http://www.conceptwiki.org/concept/fc45a043-b200-4f9d-97ad-e5f474103d14	http://www.openphacts.org/lenses/default	10	0.020	2.809	0.942	0.049	32
C	http://www.conceptwiki.org/concept/fa0fcc77-9ec7-46b2-a729-97f34f9d38f8	http://www.openphacts.org/lenses/chemistryChildParent	10	0.019	2.840	0.957	0.046	52
T	http://www4.wiwiss.fu-berlin.de/drugbank/resource/targets/976	http://www.openphacts.org/lenses/chemistryStrict	25	0.017	1.701	0.536	0.047	0
C	http://www.conceptwiki.org/concept/fa009be6-03a2-4d58-93b1-3d86b3dfc635	http://www.openphacts.org/lenses/chemistryStrict	50	0.019	2.822	4.755	0.047	732
C	http://www.conceptwiki.org/concept/fe880a3e-ada9-471d-b0f5-a56c2563857b	http://www.openphacts.org/lenses/chemistryParentChild	10	0.017	2.787	1.149	0.046	81
C	http://www.conceptwiki.org/concept/fb5ac950-b93b-4ded-ba19-ac6f4a49b4d2	http://www.openphacts.org/lenses/chemistryParentChildTautomer	10	0.019	2.595	1.377	0.046	131
C	http://ops.rsc.org/OPS980358	http://www.openphacts.org/lenses/chemistryTautomer	50	0.020	2.895	0.729	0.050	50
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL79300	http://www.openphacts.org/lenses/chemistryChildParentTautomer	25	0.020	3.203	1.231	0.048	354
C	http://ops.rsc.org/OPS982314	http://www.openphacts.org/lenses/chemistryChildParentTautomer	25	0.020	3.022	0.725	0.044	75
C	http://ops.rsc.org/OPS991971	http://www.openphacts.org/lenses/chemistryChildParent	25	0.016	0.411	0.669	0.044	0
C	http://www.conceptwiki.org/concept/fed078fa-b904-429f-bee7-1332c10c2936	http://www.openphacts.org/lenses/chemistryTautomer	10	0.019	3.045	0.922	0.048	123
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_5126	http://www.openphacts.org/lenses/chemistryChildParentTautomer	10	0.018	6.300	21.302	0.045	188
T	http://www.conceptwiki.org/concept/fd3d6d39-20a1-43ba-a858-e826bdb0e01b	http://www.openphacts.org/lenses/default	50	0.018	0.449	0.576	0.049	0
T	http://www4.wiwiss.fu-berlin.de/drugbank/resource/targets/187	http://www.openphacts.org/lenses/chemistryParentChildTautomer	25	0.017	34.936	0.611	0.051	0
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_5974	http://www.openphacts.org/lenses/chemistryParentChild	25	0.017	300.463	0.519	0.048	0
C	http://ops.rsc.org/OPS986656	http://www.openphacts.org/lenses/default	10	0.020	2.703	0.916	0.059	47
T	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL2111401	http://www.openphacts.org/lenses/all	25	0.020	300.604	0.502	0.053	0
T	http://www4.wiwiss.fu-berlin.de/drugbank/resource/targets/7073	http://www.openphacts.org/lenses/chemistryChildParentTautomer	10	0.020	2.506	0.605	0.047	0
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL97654	http://www.openphacts.org/lenses/conceptWikiGene	10	0.019	2.832	0.749	0.050	28
C	http://ops.rsc.org/OPS984557	http://www.openphacts.org/lenses/chemistryParentChildTautomer	10	0.019	4.097	1.045	0.047	162
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL83032	http://www.openphacts.org/lenses/default	50	0.018	2.768	1.093	0.052	318
T	http://www4.wiwiss.fu-berlin.de/drugbank/resource/targets/404	http://www.openphacts.org/lenses/chemistryParentChildTautomer	25	0.019	1.527	0.543	0.046	0
C	http://www.conceptwiki.org/concept/fa924ab1-c383-4b21-bfae-d223167072a9	http://www.openphacts.org/lenses/conceptWikiGene	10	0.019	2.796	0.911	0.051	133
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_3397	http://www.openphacts.org/lenses/all	25	0.020	6.181	300.486	0.049	0
T	http://www.conceptwiki.org/concept/fe075b98-e025-4c34-950a-23f61d0ad4dc	http://www.openphacts.org/lenses/chemistryParentChild	25	0.018	0.477	0.528	0.054	0
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL80850	http://www.openphacts.org/lenses/default	25	0.020	2.876	0.721	0.192	87
C	http://ops.rsc.org/OPS971480	http://www.openphacts.org/lenses/chemistryAll	50	0.021	3.025	0.672	0.049	48
C	http://ops.rsc.org/OPS989352	http://www.openphacts.org/lenses/default	50	0.019	2.767	0.873	0.043	102
C	http://ops.rsc.org/OPS982566	http://www.openphacts.org/lenses/chemistryAll	10	0.021	5.741	0.825	0.050	55
C	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB04549	http://www.openphacts.org/lenses/chemistryTautomer	25	0.020	4.075	0.600	0.047	37
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL83272	http://www.openphacts.org/lenses/chemistryParentChild	50	0.017	2.576	0.888	0.130	108
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_660	http://www.openphacts.org/lenses/chemistryAll	10	0.021	6.294	40.949	0.051	251
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_4994	http://www.openphacts.org/lenses/chemistryChildParent	50	0.019	7.331	7.942	0.050	59
T	http://www.conceptwiki.org/concept/fcc78287-2094-4209-8019-8a18b5a9fa1d	http://www.openphacts.org/lenses/chemistryParentChild	25	0.019	0.400	0.515	0.046	0
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL81634	http://www.openphacts.org/lenses/chemistryParentChildTautomer	25	0.020	2.569	0.648	0.046	30
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_1173	http://www.openphacts.org/lenses/chemistryStrict	10	0.019	300.563	0.499	0.051	0
T	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL4482	http://www.openphacts.org/lenses/chemistryChildParentTautomer	10	0.019	81.622	19.775	0.049	181
C	http://ops.rsc.org/OPS972581	http://www.openphacts.org/lenses/default	25	0.020	2.773	0.725	0.046	169
T	http://www.conceptwiki.org/concept/faaa39f2-a062-4dbc-a461-3dbd75a0a55d	http://www.openphacts.org/lenses/chemistryStrict	25	0.017	1.045	0.515	0.046	0
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL9437	http://www.openphacts.org/lenses/all	10	0.020	2.964	0.687	0.046	59
T	http://www4.wiwiss.fu-berlin.de/drugbank/resource/targets/2452	http://www.openphacts.org/lenses/chemistryParentChildTautomer	50	0.018	6.977	0.594	0.048	0
C	http://ops.rsc.org/OPS975901	http://www.openphacts.org/lenses/chemistryAll	10	0.016	3.503	0.609	0.048	60
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL9555	http://www.openphacts.org/lenses/chemistryTautomer	10	0.018	2.925	0.610	0.049	141
T	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL2578	http://www.openphacts.org/lenses/chemistryAll	50	0.020	7.260	300.385	0.050	0
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL93765	http://www.openphacts.org/lenses/chemistryChildParentTautomer	10	0.020	2.937	0.578	0.049	45
C	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB02643	http://www.openphacts.org/lenses/conceptWikiGene	10	0.019	2.721	0.525	0.048	0
